chem,gene,Column1,disease,gene_product,#_chem-gene_product_Pubmed_Abstracts,#_gene_product-disease_Pubmed_Abstracts,#_chem-disease_Pubmed_Abstracts,#_chem-gene_product-disease_Pubmed_Abstracts,Metal PDB ID
nickel,CAT,,innate immune response,catalase,275,981,145,0,
nickel,CAT,,metal allergy,catalase,275,36,2517,1,
nickel,CAT,,periprosthetic osteolysis,catalase,275,1,5,0,
nickel,CAT,,prostate cancer,catalase,275,172,141,0,
nickel,CAT,,squamous cell carcinoma,catalase,275,173,83,0,
cobalt,VEGFA,,Chest tightness,vascular endothelial growth factor A,270,0,4,0,
cobalt,VEGFA,,Chronic fatigue,vascular endothelial growth factor A,270,11,2,0,
cobalt,VEGFA,,Cognitive impairment,vascular endothelial growth factor A,270,91,22,0,
cobalt,VEGFA,,Demyelinating polyneuropathy,vascular endothelial growth factor A,270,25,0,0,
cobalt,VEGFA,,Dyspnea,vascular endothelial growth factor A,270,27,62,0,
cobalt,VEGFA,,NLRP3 inflammasome complex,vascular endothelial growth factor A,270,2,3,0,
cobalt,VEGFA,,Palpitations,vascular endothelial growth factor A,270,1,0,0,
cobalt,VEGFA,,Tinnitus,vascular endothelial growth factor A,270,3,12,0,
cobalt,VEGFA,,cardiomyopathy,vascular endothelial growth factor A,270,240,177,2,
cobalt,VEGFA,,demyelinating polyneuropathy,vascular endothelial growth factor A,270,25,0,0,
cobalt,VEGFA,,fibromyalgia,vascular endothelial growth factor A,270,4,2,0,
cobalt,VEGFA,,heart failure,vascular endothelial growth factor A,270,424,175,2,
cobalt,VEGFA,,hypothyroidism,vascular endothelial growth factor A,270,38,57,0,
cobalt,VEGFA,,innate immune response,vascular endothelial growth factor A,270,203,138,0,
cobalt,VEGFA,,melanoma,vascular endothelial growth factor A,270,853,329,2,
cobalt,VEGFA,,periprosthetic osteolysis,vascular endothelial growth factor A,270,8,65,0,
cobalt,VEGFA,,prostate cancer,vascular endothelial growth factor A,270,833,272,6,
cobalt,EPO,,Chest tightness,erythropoietin,256,1,4,0,
cobalt,EPO,,Chronic fatigue,erythropoietin,256,146,2,0,
cobalt,EPO,,Cognitive impairment,erythropoietin,256,160,22,0,
cobalt,EPO,,Dyspnea,erythropoietin,256,51,62,0,
cobalt,EPO,,NLRP3 inflammasome complex,erythropoietin,256,0,3,0,
cobalt,EPO,,Palpitations,erythropoietin,256,9,0,0,
cobalt,EPO,,Tinnitus,erythropoietin,256,3,12,0,
cobalt,EPO,,cardiomyopathy,erythropoietin,256,166,177,1,
cobalt,EPO,,demyelinating polyneuropathy,erythropoietin,256,0,0,0,
cobalt,EPO,,fibromyalgia,erythropoietin,256,0,2,0,
cobalt,EPO,,heart failure,erythropoietin,256,812,175,1,
cobalt,EPO,,hypothyroidism,erythropoietin,256,40,57,0,
cobalt,EPO,,innate immune response,erythropoietin,256,121,138,0,
cobalt,EPO,,melanoma,erythropoietin,256,57,329,1,
cobalt,EPO,,prostate cancer,erythropoietin,256,97,272,0,
cobalt,CAT,,Chest tightness,catalase,254,0,4,0,
cobalt,CAT,,Chronic fatigue,catalase,254,42,2,0,
cobalt,CAT,,Cognitive impairment,catalase,254,403,22,0,
cobalt,CAT,,Dyspnea,catalase,254,24,62,0,
cobalt,CAT,,NLRP3 inflammasome complex,catalase,254,6,3,0,
cobalt,CAT,,Palpitations,catalase,254,2,0,0,
cobalt,CAT,,Tinnitus,catalase,254,3,12,0,
cobalt,CAT,,cardiomyopathy,catalase,254,663,177,0,
cobalt,CAT,,fibromyalgia,catalase,254,19,2,0,
cobalt,CAT,,heart failure,catalase,254,289,175,2,
cobalt,CAT,,hypothyroidism,catalase,254,105,57,0,
cobalt,CAT,,innate immune response,catalase,254,981,138,2,
cobalt,CAT,,melanoma,catalase,254,217,329,2,
cobalt,CAT,,periprosthetic osteolysis,catalase,254,1,65,0,
cobalt,CAT,,prostate cancer,catalase,254,172,272,0,
chromium,TNF,,anaplastic large cell lymphoma,tumor necrosis factor,245,79,0,0,
chromium,TNF,,melanoma,tumor necrosis factor,245,2447,149,7,
titanium,IL6,,NLRP3 inflammasome complex,interleukin 6,230,27,1,0,
titanium,IL6,,innate immune response,interleukin 6,230,3377,208,12,
titanium,IL6,,periprosthetic osteolysis,interleukin 6,230,59,226,28,
cobalt,TNF,,Chest tightness,tumor necrosis factor,229,13,4,0,3ALQ
cobalt,TNF,,Chronic fatigue,tumor necrosis factor,229,277,2,0,3ALQ
cobalt,TNF,,Cognitive impairment,tumor necrosis factor,229,1248,22,0,3ALQ
cobalt,TNF,,Demyelinating polyneuropathy,tumor necrosis factor,229,88,0,0,3ALQ
cobalt,TNF,,Dyspnea,tumor necrosis factor,229,234,62,1,3ALQ
cobalt,TNF,,NLRP3 inflammasome complex,tumor necrosis factor,229,74,3,0,3ALQ
cobalt,TNF,,Palpitations,tumor necrosis factor,229,2,0,0,3ALQ
cobalt,TNF,,Tinnitus,tumor necrosis factor,229,27,12,0,3ALQ
cobalt,TNF,,cardiomyopathy,tumor necrosis factor,229,1780,177,0,3ALQ
cobalt,TNF,,demyelinating polyneuropathy,tumor necrosis factor,229,88,0,0,3ALQ
cobalt,TNF,,fibromyalgia,tumor necrosis factor,229,104,2,0,3ALQ
cobalt,TNF,,heart failure,tumor necrosis factor,229,2595,175,2,3ALQ
cobalt,TNF,,hypothyroidism,tumor necrosis factor,229,117,57,0,3ALQ
cobalt,TNF,,innate immune response,tumor necrosis factor,229,8759,138,2,3ALQ
cobalt,TNF,,melanoma,tumor necrosis factor,229,2447,329,2,3ALQ
cobalt,TNF,,periprosthetic osteolysis,tumor necrosis factor,229,125,65,5,3ALQ
cobalt,TNF,,prostate cancer,tumor necrosis factor,229,1200,272,1,3ALQ
cobalt,CASP3,,Chest tightness,caspase 3,225,0,4,0,
cobalt,CASP3,,Chronic fatigue,caspase 3,225,6,2,0,
cobalt,CASP3,,Cognitive impairment,caspase 3,225,671,22,1,
cobalt,CASP3,,Demyelinating polyneuropathy,caspase 3,225,0,0,0,
cobalt,CASP3,,Dyspnea,caspase 3,225,7,62,0,
cobalt,CASP3,,NLRP3 inflammasome complex,caspase 3,225,14,3,0,
cobalt,CASP3,,Neurotoxicity Syndromes,caspase 3,225,348,51,0,
cobalt,CASP3,,Palpitations,caspase 3,225,0,0,0,
cobalt,CASP3,,Tinnitus,caspase 3,225,3,12,0,
cobalt,CASP3,,cardiomyopathy,caspase 3,225,1326,177,2,
cobalt,CASP3,,demyelinating polyneuropathy,caspase 3,225,0,0,0,
cobalt,CASP3,,fibromyalgia,caspase 3,225,2,2,0,
cobalt,CASP3,,heart failure,caspase 3,225,599,175,1,
cobalt,CASP3,,hypothyroidism,caspase 3,225,39,57,0,
cobalt,CASP3,,innate immune response,caspase 3,225,616,138,0,
cobalt,CASP3,,melanoma,caspase 3,225,1088,329,2,
cobalt,CASP3,,periprosthetic osteolysis,caspase 3,225,7,65,0,
cobalt,CASP3,,prostate cancer,caspase 3,225,1563,272,3,
titanium,CAT,,NLRP3 inflammasome complex,catalase,210,6,1,0,
titanium,CAT,,innate immune response,catalase,210,981,208,3,
titanium,CAT,,periprosthetic osteolysis,catalase,210,1,226,1,
chromium(3+),CAT,,anaplastic large cell lymphoma,catalase,174,0,0,0,
chromium(3+),CAT,,melanoma,catalase,174,217,47,0,
nickel,TNF,,Localized skin lesion,tumor necrosis factor,174,14,2,0,
nickel,TNF,,NLRP3 inflammasome complex,tumor necrosis factor,174,74,2,0,
nickel,TNF,,allergic contact dermatitis,tumor necrosis factor,174,213,1920,23,
nickel,TNF,,anaplastic large cell lymphoma,tumor necrosis factor,174,79,0,0,
nickel,TNF,,innate immune response,tumor necrosis factor,174,8759,145,6,
nickel,TNF,,metal allergy,tumor necrosis factor,174,198,2517,25,
nickel,TNF,,periprosthetic osteolysis,tumor necrosis factor,174,125,5,0,
nickel,TNF,,prostate cancer,tumor necrosis factor,174,1200,141,0,
nickel,TNF,,squamous cell carcinoma,tumor necrosis factor,174,1083,83,1,
chromium,GSR,,anaplastic large cell lymphoma,glutathione-disulfide reductase,155,0,0,0,
chromium,GSR,,melanoma,glutathione-disulfide reductase,155,62,149,0,
cobalt(2+),CAT,,Chest tightness,catalase,138,0,1,0,
cobalt(2+),CAT,,Chronic fatigue,catalase,138,42,2,0,
cobalt(2+),CAT,,Cognitive impairment,catalase,138,403,9,0,
cobalt(2+),CAT,,Dyspnea,catalase,138,24,20,0,
cobalt(2+),CAT,,NLRP3 inflammasome complex,catalase,138,6,1,0,
cobalt(2+),CAT,,Palpitations,catalase,138,2,0,0,
cobalt(2+),CAT,,Tinnitus,catalase,138,3,5,0,
cobalt(2+),CAT,,cardiomyopathy,catalase,138,663,49,0,
cobalt(2+),CAT,,fibromyalgia,catalase,138,19,1,0,
cobalt(2+),CAT,,heart failure,catalase,138,289,83,1,
cobalt(2+),CAT,,hypothyroidism,catalase,138,105,23,0,
cobalt(2+),CAT,,innate immune response,catalase,138,981,46,1,
cobalt(2+),CAT,,melanoma,catalase,138,217,119,1,
cobalt(2+),CAT,,periprosthetic osteolysis,catalase,138,1,29,0,
cobalt(2+),CAT,,prostate cancer,catalase,138,172,116,0,
cobalt,CA1,,Chest tightness,carbonic anhydrase 1,124,0,4,0,
cobalt,CA1,,Chronic fatigue,carbonic anhydrase 1,124,4,2,0,
cobalt,CA1,,Cognitive impairment,carbonic anhydrase 1,124,16,22,0,
cobalt,CA1,,Dyspnea,carbonic anhydrase 1,124,4,62,0,
cobalt,CA1,,NLRP3 inflammasome complex,carbonic anhydrase 1,124,0,3,0,
cobalt,CA1,,Palpitations,carbonic anhydrase 1,124,1,0,0,
cobalt,CA1,,Tinnitus,carbonic anhydrase 1,124,3,12,0,
cobalt,CA1,,cardiomyopathy,carbonic anhydrase 1,124,8,177,0,
cobalt,CA1,,fibromyalgia,carbonic anhydrase 1,124,0,2,0,
cobalt,CA1,,heart failure,carbonic anhydrase 1,124,33,175,0,
cobalt,CA1,,hypothyroidism,carbonic anhydrase 1,124,15,57,0,
cobalt,CA1,,innate immune response,carbonic anhydrase 1,124,17,138,0,
cobalt,CA1,,melanoma,carbonic anhydrase 1,124,31,329,0,
cobalt,CA1,,prostate cancer,carbonic anhydrase 1,124,51,272,0,
cobalt,IL6,,Chest tightness,interleukin 6,124,9,4,0,
cobalt,IL6,,Chronic fatigue,interleukin 6,124,155,2,0,
cobalt,IL6,,Cognitive impairment,interleukin 6,124,676,22,0,
cobalt,IL6,,Demyelinating polyneuropathy,interleukin 6,124,12,0,0,
cobalt,IL6,,Dyspnea,interleukin 6,124,140,62,0,
cobalt,IL6,,NLRP3 inflammasome complex,interleukin 6,124,27,3,0,
cobalt,IL6,,Palpitations,interleukin 6,124,4,0,0,
cobalt,IL6,,Tinnitus,interleukin 6,124,6,12,0,
cobalt,IL6,,cardiomyopathy,interleukin 6,124,803,177,0,
cobalt,IL6,,demyelinating polyneuropathy,interleukin 6,124,12,0,0,
cobalt,IL6,,fibromyalgia,interleukin 6,124,42,2,0,
cobalt,IL6,,heart failure,interleukin 6,124,1373,175,1,
cobalt,IL6,,hypothyroidism,interleukin 6,124,64,57,0,
cobalt,IL6,,innate immune response,interleukin 6,124,3377,138,3,
cobalt,IL6,,melanoma,interleukin 6,124,573,329,0,
cobalt,IL6,,periprosthetic osteolysis,interleukin 6,124,59,65,2,
cobalt,IL6,,prostate cancer,interleukin 6,124,768,272,0,
chromium(6+),CAT,,anaplastic large cell lymphoma,catalase,115,0,0,0,
chromium(6+),CAT,,melanoma,catalase,115,217,47,0,
chromium(6+),TNF,,anaplastic large cell lymphoma,tumor necrosis factor,112,79,0,0,
chromium(6+),TNF,,melanoma,tumor necrosis factor,112,2447,47,4,
chromium,TF,,melanoma,transferrin,109,248,149,1,
cobalt,CA2,,Chest tightness,carbonic anhydrase 2,108,0,4,0,3KOK
cobalt,CA2,,Chronic fatigue,carbonic anhydrase 2,108,0,2,0,3KOK
cobalt,CA2,,Cognitive impairment,carbonic anhydrase 2,108,7,22,0,3KOK
cobalt,CA2,,Dyspnea,carbonic anhydrase 2,108,0,62,0,3KOK
cobalt,CA2,,NLRP3 inflammasome complex,carbonic anhydrase 2,108,0,3,0,3KOK
cobalt,CA2,,Palpitations,carbonic anhydrase 2,108,0,0,0,3KOK
cobalt,CA2,,Tinnitus,carbonic anhydrase 2,108,1,12,0,3KOK
cobalt,CA2,,cardiomyopathy,carbonic anhydrase 2,108,2,177,0,3KOK
cobalt,CA2,,fibromyalgia,carbonic anhydrase 2,108,1,2,0,3KOK
cobalt,CA2,,heart failure,carbonic anhydrase 2,108,11,175,0,3KOK
cobalt,CA2,,hypothyroidism,carbonic anhydrase 2,108,2,57,0,3KOK
cobalt,CA2,,innate immune response,carbonic anhydrase 2,108,6,138,0,3KOK
cobalt,CA2,,melanoma,carbonic anhydrase 2,108,13,329,0,3KOK
cobalt,CA2,,periprosthetic osteolysis,carbonic anhydrase 2,108,2,65,1,3KOK
cobalt,CA2,,prostate cancer,carbonic anhydrase 2,108,22,272,0,3KOK
cobalt,TP53,,Chest tightness,tumor protein p53,106,1,4,0,
cobalt,TP53,,Chronic fatigue,tumor protein p53,106,6,2,0,
cobalt,TP53,,Cognitive impairment,tumor protein p53,106,45,22,0,
cobalt,TP53,,Demyelinating polyneuropathy,tumor protein p53,106,0,0,0,
cobalt,TP53,,Dyspnea,tumor protein p53,106,15,62,0,
cobalt,TP53,,NLRP3 inflammasome complex,tumor protein p53,106,1,3,0,
cobalt,TP53,,Neurotoxicity Syndromes,tumor protein p53,106,46,51,0,
cobalt,TP53,,Palpitations,tumor protein p53,106,1,0,0,
cobalt,TP53,,Tinnitus,tumor protein p53,106,2,12,0,
cobalt,TP53,,cardiomyopathy,tumor protein p53,106,157,177,0,
cobalt,TP53,,demyelinating polyneuropathy,tumor protein p53,106,0,0,0,
cobalt,TP53,,fibromyalgia,tumor protein p53,106,2,2,0,
cobalt,TP53,,heart failure,tumor protein p53,106,185,175,0,
cobalt,TP53,,hypothyroidism,tumor protein p53,106,13,57,0,
cobalt,TP53,,innate immune response,tumor protein p53,106,332,138,0,
cobalt,TP53,,melanoma,tumor protein p53,106,1750,329,3,
cobalt,TP53,,periprosthetic osteolysis,tumor protein p53,106,1,65,0,
cobalt,TP53,,prostate cancer,tumor protein p53,106,2180,272,2,
nickel,CASP3,,NLRP3 inflammasome complex,caspase 3,101,14,2,0,
nickel,CASP3,,allergic contact dermatitis,caspase 3,101,1,1920,0,
nickel,CASP3,,anaplastic large cell lymphoma,caspase 3,101,35,0,0,
nickel,CASP3,,innate immune response,caspase 3,101,616,145,0,
nickel,CASP3,,periprosthetic osteolysis,caspase 3,101,7,5,0,
nickel,CASP3,,prostate cancer,caspase 3,101,1563,141,0,
nickel,CASP3,,squamous cell carcinoma,caspase 3,101,1170,83,1,
cobalt,JUN,,Chest tightness,"Jun proto-oncogene, AP-1 transcription factor subunit",101,0,4,0,
cobalt,JUN,,Chronic fatigue,"Jun proto-oncogene, AP-1 transcription factor subunit",101,19,2,0,
cobalt,JUN,,Cognitive impairment,"Jun proto-oncogene, AP-1 transcription factor subunit",101,272,22,0,
cobalt,JUN,,Demyelinating polyneuropathy,"Jun proto-oncogene, AP-1 transcription factor subunit",101,31,0,0,
cobalt,JUN,,Dyspnea,"Jun proto-oncogene, AP-1 transcription factor subunit",101,19,62,0,
cobalt,JUN,,NLRP3 inflammasome complex,"Jun proto-oncogene, AP-1 transcription factor subunit",101,9,3,0,
cobalt,JUN,,Neurotoxicity Syndromes,"Jun proto-oncogene, AP-1 transcription factor subunit",101,65,51,0,
cobalt,JUN,,Palpitations,"Jun proto-oncogene, AP-1 transcription factor subunit",101,6,0,0,
cobalt,JUN,,Tinnitus,"Jun proto-oncogene, AP-1 transcription factor subunit",101,7,12,0,
cobalt,JUN,,cardiomyopathy,"Jun proto-oncogene, AP-1 transcription factor subunit",101,480,177,0,
cobalt,JUN,,fibromyalgia,"Jun proto-oncogene, AP-1 transcription factor subunit",101,10,2,0,
cobalt,JUN,,heart failure,"Jun proto-oncogene, AP-1 transcription factor subunit",101,426,175,0,
cobalt,JUN,,hypothyroidism,"Jun proto-oncogene, AP-1 transcription factor subunit",101,113,57,0,
cobalt,JUN,,innate immune response,"Jun proto-oncogene, AP-1 transcription factor subunit",101,2182,138,3,
cobalt,JUN,,melanoma,"Jun proto-oncogene, AP-1 transcription factor subunit",101,948,329,0,
cobalt,JUN,,periprosthetic osteolysis,"Jun proto-oncogene, AP-1 transcription factor subunit",101,5,65,0,
cobalt,JUN,,prostate cancer,"Jun proto-oncogene, AP-1 transcription factor subunit",101,1245,272,0,
chromium(3+),CASP3,,anaplastic large cell lymphoma,caspase 3,96,35,0,0,
chromium(3+),CASP3,,melanoma,caspase 3,96,1088,47,0,
chromium,IL6,,anaplastic large cell lymphoma,interleukin 6,93,21,0,0,
chromium,IL6,,melanoma,interleukin 6,93,573,149,1,
chromium(6+),IL6,,anaplastic large cell lymphoma,interleukin 6,93,21,0,0,
chromium(6+),IL6,,melanoma,interleukin 6,93,573,47,1,
nickel,GSR,,NLRP3 inflammasome complex,glutathione-disulfide reductase,85,0,2,0,
nickel,GSR,,allergic contact dermatitis,glutathione-disulfide reductase,85,3,1920,0,
nickel,GSR,,anaplastic large cell lymphoma,glutathione-disulfide reductase,85,0,0,0,
nickel,GSR,,innate immune response,glutathione-disulfide reductase,85,177,145,0,
nickel,GSR,,prostate cancer,glutathione-disulfide reductase,85,88,141,0,
nickel,GSR,,squamous cell carcinoma,glutathione-disulfide reductase,85,61,83,0,
nickel,IL6,,NLRP3 inflammasome complex,interleukin 6,84,27,2,0,
nickel,IL6,,allergic contact dermatitis,interleukin 6,84,51,1920,8,
nickel,IL6,,anaplastic large cell lymphoma,interleukin 6,84,21,0,0,
nickel,IL6,,innate immune response,interleukin 6,84,3377,145,2,
nickel,IL6,,metal allergy,interleukin 6,84,70,2517,7,
nickel,IL6,,periprosthetic osteolysis,interleukin 6,84,59,5,0,
nickel,IL6,,prostate cancer,interleukin 6,84,768,141,0,
nickel,IL6,,squamous cell carcinoma,interleukin 6,84,510,83,1,
chromium(6+),IFNG,,anaplastic large cell lymphoma,interferon gamma,71,22,0,0,
chromium(6+),IFNG,,melanoma,interferon gamma,71,2659,47,8,
nickel,HIF1A,,NLRP3 inflammasome complex,hypoxia inducible factor 1 subunit alpha,69,2,2,0,
nickel,HIF1A,,allergic contact dermatitis,hypoxia inducible factor 1 subunit alpha,69,6,1920,3,
nickel,HIF1A,,anaplastic large cell lymphoma,hypoxia inducible factor 1 subunit alpha,69,2,0,0,
nickel,HIF1A,,innate immune response,hypoxia inducible factor 1 subunit alpha,69,186,145,1,
nickel,HIF1A,,prostate cancer,hypoxia inducible factor 1 subunit alpha,69,424,141,2,
nickel,HIF1A,,squamous cell carcinoma,hypoxia inducible factor 1 subunit alpha,69,402,83,2,
chromium(6+),G6PD,,anaplastic large cell lymphoma,glucose-6-phosphate dehydrogenase,68,0,0,0,
chromium(6+),G6PD,,melanoma,glucose-6-phosphate dehydrogenase,68,27,47,0,
nickel,IL1B,,Localized skin lesion,interleukin 1 beta,65,2,2,0,
nickel,IL1B,,NLRP3 inflammasome complex,interleukin 1 beta,65,520,2,2,
nickel,IL1B,,allergic contact dermatitis,interleukin 1 beta,65,51,1920,4,
nickel,IL1B,,anaplastic large cell lymphoma,interleukin 1 beta,65,4,0,0,
nickel,IL1B,,innate immune response,interleukin 1 beta,65,2981,145,2,
nickel,IL1B,,metal allergy,interleukin 1 beta,65,38,2517,10,
nickel,IL1B,,periprosthetic osteolysis,interleukin 1 beta,65,34,5,0,
nickel,IL1B,,prostate cancer,interleukin 1 beta,65,140,141,0,
nickel,IL1B,,squamous cell carcinoma,interleukin 1 beta,65,123,83,0,
chromium,JUN,,anaplastic large cell lymphoma,"Jun proto-oncogene, AP-1 transcription factor subunit",65,40,0,0,
chromium,JUN,,melanoma,"Jun proto-oncogene, AP-1 transcription factor subunit",65,948,149,1,
chromium,TP53,,anaplastic large cell lymphoma,tumor protein p53,62,85,0,0,
chromium,TP53,,melanoma,tumor protein p53,62,1750,149,0,
cobalt,IFNG,,Chest tightness,interferon gamma,60,4,4,0,
cobalt,IFNG,,Chronic fatigue,interferon gamma,60,97,2,0,
cobalt,IFNG,,Cognitive impairment,interferon gamma,60,145,22,0,
cobalt,IFNG,,Dyspnea,interferon gamma,60,62,62,0,
cobalt,IFNG,,NLRP3 inflammasome complex,interferon gamma,60,19,3,0,
cobalt,IFNG,,Palpitations,interferon gamma,60,0,0,0,
cobalt,IFNG,,Tinnitus,interferon gamma,60,3,12,0,
cobalt,IFNG,,cardiomyopathy,interferon gamma,60,420,177,0,
cobalt,IFNG,,demyelinating polyneuropathy,interferon gamma,60,42,0,0,
cobalt,IFNG,,fibromyalgia,interferon gamma,60,11,2,0,
cobalt,IFNG,,heart failure,interferon gamma,60,289,175,0,
cobalt,IFNG,,hypothyroidism,interferon gamma,60,71,57,0,
cobalt,IFNG,,innate immune response,interferon gamma,60,7048,138,0,
cobalt,IFNG,,melanoma,interferon gamma,60,2659,329,0,
cobalt,IFNG,,periprosthetic osteolysis,interferon gamma,60,11,65,0,
cobalt,IFNG,,prostate cancer,interferon gamma,60,408,272,0,
nickel,TP53,,NLRP3 inflammasome complex,tumor protein p53,59,1,2,0,
nickel,TP53,,allergic contact dermatitis,tumor protein p53,59,1,1920,0,
nickel,TP53,,anaplastic large cell lymphoma,tumor protein p53,59,85,0,0,
nickel,TP53,,innate immune response,tumor protein p53,59,332,145,0,
nickel,TP53,,periprosthetic osteolysis,tumor protein p53,59,1,5,0,
nickel,TP53,,prostate cancer,tumor protein p53,59,2180,141,1,
nickel,TP53,,squamous cell carcinoma,tumor protein p53,59,4984,83,1,
titanium,TF,,NLRP3 inflammasome complex,transferrin,53,0,1,0,5DYH
titanium,TF,,innate immune response,transferrin,53,474,208,0,5DYH
titanium,TF,,periprosthetic osteolysis,transferrin,53,0,226,0,5DYH
chromium(3+),GSR,,anaplastic large cell lymphoma,glutathione-disulfide reductase,52,0,0,0,
chromium(3+),GSR,,melanoma,glutathione-disulfide reductase,52,62,47,0,
nickel,VEGFA,,NLRP3 inflammasome complex,vascular endothelial growth factor A,48,2,2,0,
nickel,VEGFA,,allergic contact dermatitis,vascular endothelial growth factor A,48,12,1920,3,
nickel,VEGFA,,innate immune response,vascular endothelial growth factor A,48,203,145,0,
nickel,VEGFA,,periprosthetic osteolysis,vascular endothelial growth factor A,48,8,5,0,
nickel,VEGFA,,prostate cancer,vascular endothelial growth factor A,48,833,141,1,
nickel,VEGFA,,squamous cell carcinoma,vascular endothelial growth factor A,48,1106,83,0,
chromium(6+),GSR,,anaplastic large cell lymphoma,glutathione-disulfide reductase,45,0,0,0,
